UO ID,14.0_16.0,14.0_16.1,14.0_18.0,14.0_18.1,16.0_16.1,16.0_18.0,16.0_18.1,16.0_18.2,16.0_20.1,16.0_20.2,16.0_20.3,16.0_20.4,16.0_22.6,16.1_18.1,18.0_16.1,18.0_18.1,18.0_18.2,18.0_18.3,18.0_20.4,18.0_22.6,18.2_18.1,_di14.0,_di16.0,_di16.1
T101,53.4,3.4,3.4,22.2,32.5,187.9,959.7,703.6,3.4,23.6,13.5,35.5,58.2,26.6,18,104.8,511.7,5.7,719.2,42.6,478,3.4,188.7,3.4
T103,94,8.9,7,54.1,110.9,212.2,913.1,1399.7,6.3,30.1,21.6,41.1,84.5,54.1,37.5,201.6,429.2,15.4,1294.6,48.9,404.6,3.4,345.9,3.4
T104,54.9,8.5,3.9,13.7,45.1,214,901.1,1461.2,25.7,25.2,36,58,187.7,29.1,15.7,450.7,578.6,23,5458.2,251.7,796.8,3.4,247.5,3.4
T105,83.6,3.9,6.2,49.7,95.3,199.6,976.6,2122.7,3.4,18.2,20.8,52.8,54.9,71.5,33.2,277.9,576.3,36.5,3443.1,62.7,822.6,3.4,327.8,4.8
T106,71.7,6.7,8.6,47.5,69.3,236.7,1186.3,1366.4,9,18.2,18.3,38.6,58.8,46.8,25.9,272.2,497.7,17.5,2382.3,80.2,601,3.4,317.2,3.4
T107,140.6,19.9,11.3,120.3,160.6,286.9,1446.7,2307,14.9,38.3,22.4,91.8,134.5,101.3,57.6,373.9,524.9,24,2230.6,106,991.7,3.4,478.9,9.8
T108,46.2,6.5,7.2,30.9,47.5,171.9,761.5,1057.5,6,12,19.9,31.7,68.5,39.2,27.3,188.6,410.5,16.6,2545.5,80.1,496.5,3.4,258.9,3.4
T109,40.1,3.4,4.5,21.4,46.7,148.7,415.9,912.1,4.7,5.3,7.3,30.2,36.4,16,11.4,125,280.7,18,1739.2,92.4,234.7,3.4,248.9,3.9
T201,63.6,3.4,8.6,49.7,49.1,286.5,1352.9,729.7,34.3,16.2,3.4,90.1,16.1,39.2,25.1,387,382.8,3.4,1507.5,40.1,461.2,3.4,258,3.4
T202,123.2,3.4,13.8,106.8,94.3,288.1,2024.4,974.1,38.9,39.9,22.4,85.1,39,68.6,34.4,390.5,214.6,14,1340.3,42.4,604.7,3.4,399.4,8
T203,88.7,5.4,7.6,77.7,158.9,147.7,1054.7,751.2,13.3,19.2,13.3,16.6,59.5,106.5,57.4,231.6,230.4,4.3,1185.3,45.4,339.1,4,272,20.4
T204,98.7,14.5,9.8,84.4,152.1,160,1025.1,681.7,10.6,17.7,13,48.3,58,109.7,48.1,298,289.2,3.4,1756.6,122.6,430.4,3.7,280.9,15.1
T205,121.6,18,14.5,110.8,127,178.2,1157,965.5,13.8,19.5,13.3,46.5,106.4,105.6,55.1,252.8,273.9,6.3,2150,69.6,411.3,3.4,394.4,15.1
T304,49.7,3.4,4,25.3,73.6,178.6,873.8,1055.9,3.4,30.2,24,35.3,96.7,31.5,24,163.3,861,10.3,1476,100.4,630.8,3.4,200.4,3.4
T305,23,3.4,3.4,15.3,28.6,106.3,413.8,595.5,3.4,13.7,8.4,16.4,38.6,15.3,13.4,100.2,288.9,6.3,1442.7,79.5,275.1,3.4,114.5,3.4
T306,77.4,3.4,3.4,48.8,74.7,177.4,1042.1,2204.2,5.2,33.1,19.4,19.8,89.8,49.8,34.6,264.1,549.6,40.7,2321.5,72.6,1146.6,3.4,327.1,4
T307,47.9,3.4,5,16,28.2,147.6,652.6,873.8,3.4,17.6,12,41.3,95.7,25.1,16.4,134,262.2,14.6,773.2,62.3,408,3.4,169.1,3.4
T308,20.6,3.4,3.4,10.7,24.3,125.9,470.2,728.6,3.4,15.6,12.5,26.5,78.9,12.4,7.4,70.9,243.3,3.4,631.9,51.5,240.1,3.4,132.1,3.4
T309,28.9,3.4,3.7,16.5,23.1,93,436.7,879.9,3.4,4.7,8.2,3.4,19.4,18.2,14.3,134.2,584.5,10.6,1392.2,56,502.8,3.4,216.5,3.4
T311,39.8,3.4,3.4,34.4,48.1,195.2,697.1,1295.8,13.2,19.1,12.8,34.5,54.7,33.4,24.3,241.8,550.6,17.2,3332.7,126.3,590.7,3.4,215.2,3.4
T312,48,3.4,3.5,20.9,18.2,147.3,598.9,887.4,3.4,15.7,17.8,32.1,56,21.1,15.1,111.3,570.6,17,2232.5,65.3,424,3.4,203.1,3.4
T400,155.2,17.7,16.5,100.7,88.1,280.8,1525.8,819.6,18.4,34.2,13.9,109.7,69.1,78.5,53.7,326.2,305.3,12.4,2327.8,42.4,662.3,5.8,275.8,3.4
T401,90.8,3.4,19.8,108.6,85,213.7,1230.7,825.1,22.6,29.5,22.9,44.8,50.2,67.2,43.9,465.3,246,4.3,1381.9,7.3,436.6,4.6,295.9,3.4
T402,76.9,3.4,19.8,79.8,87.6,318.6,1748.8,629.4,24.6,23.5,12.5,51.9,18.7,84.7,55.1,521.1,330.8,3.4,1518.7,12,560.4,3.4,297.6,3.4
T404,134.7,21.1,12.7,111.4,122.3,240,1546.1,1260,16.7,17.2,16.7,36.2,24.8,87.4,57.9,369.1,253,9.3,1505.2,14.9,532.2,3.4,336.1,5.4
T405,108.6,7,16.5,157,177.1,147.9,1323.1,1280.8,20.4,15.6,23.7,75.8,268.1,130.9,66.7,480.3,388.6,9.1,1611.6,109,698,6.2,355,20.5
T406,133.9,16.7,22,116.7,186.8,284.8,1646.4,1566.7,18.3,26.5,19.3,42,142.9,110.5,58.8,430.7,333,3.4,2428.4,81.4,614.3,3.4,644.3,6.1
T407,56.5,8.1,6,48.4,81.1,111.4,696.2,605.1,6.9,15,16.3,32.7,213.5,73.1,45.1,148.4,213.8,3.4,922.4,83,237.8,3.4,228.9,20.1
T408,110.2,5.9,18.1,101.3,218.1,319,1953.2,1200.1,25.9,39.8,22,67.2,137,187.7,116.6,522.9,229.2,3.4,1411.6,35.8,558.1,3.8,405.6,33.1
T500,30,5.8,3.4,21.7,30.7,112.3,507.7,591.2,3.6,14.1,7.3,3.4,92,28.1,15.3,149.2,320.8,5,1226,59.7,288.7,3.4,161.6,3.4
T501,31.5,3.4,3.7,12.4,34.8,178.1,606.9,762.3,5.3,17.5,11.9,39.2,70,18.4,16.1,158,565.2,8.4,2016.6,128,337,3.4,256.5,3.4
T502,18.6,3.4,3.4,15.2,17.5,213,785.4,875.7,6.5,30.1,12.2,41.4,39.2,12.4,5.3,204.8,402.5,8.6,894.6,60.5,412,3.4,187.6,3.4
T503,28,3.4,3.4,11.9,25,147.3,498.7,586.5,3.4,13.6,9.5,44.6,45.7,19.2,15.9,110.7,315.6,7.3,1056.4,62.5,263.6,3.4,183.7,3.4
T504,63.5,9.2,6.9,37.7,92.2,183.9,981.5,903.7,3.4,19.7,14.1,45.5,46.3,84.5,46.3,200.5,353.5,13,1021.7,41.6,510.3,3.4,211.2,12.8
T505,43,4,3.4,17.4,50.2,145.5,662.4,844.6,3.4,17.9,17.9,29.1,51.5,29.5,19.5,122.7,331.1,5.8,1535.3,99.5,282.9,3.4,271.6,5.5
T506,37.8,5.3,4.1,18.8,37.3,146.4,601.7,656.5,3.4,19.6,20.6,43.5,49.6,27.3,21.1,122.6,325,11.5,1776.7,57.3,302.1,3.4,230,3.4