UO ID,14.0,16.0,16.1,18.0,18.1,20.0,22.0,23.0,24.0,24.1,24.2,24.3,24.4
T101,103.3,3312.4,145.1,5238.2,545.7,367.6,1152.9,837.9,1141.5,976.5,508.5,59.4,193.2
T103,140.8,3842.9,174.1,6330.2,604.6,557.9,1294.5,823.9,1195.5,1224.8,730,90.2,231.8
T104,173.3,5768.4,197.3,9018.2,635.1,697.9,1859.5,1309.3,1852.7,1634.4,1059.3,116.8,289.7
T105,94.3,3302,136,4618.2,427.6,349.6,1017.5,694.5,1088.7,1071.7,493.6,66.8,169.2
T106,148,4401.6,177.5,6611.3,586.8,454.1,1136.7,849.1,1232.3,1423.1,768.8,99,172.6
T107,216.7,4868.8,209.6,7049,646.7,695.6,1485.3,997.6,1870.6,2125.9,1184.4,111,13.2
T108,152.5,4293.6,192.2,6803,716.9,513,1712.2,991.8,1761.5,1911.4,1006.4,124.1,76.4
T109,133.5,3616.4,123.4,6454.7,548.9,549.5,1329.3,866.9,1336.8,1465.2,837.4,98.2,22
T201,121.1,3536.3,132.7,6227.8,457.7,699.8,3259.2,488.7,1992.3,1464.7,299.5,11.9,51.7
T202,126,3794.9,154.2,6821,510,621.4,2271.6,604.9,1534.6,1183.9,284.8,54.1,113.1
T203,153.3,4157.2,171.3,5714.9,673.5,591.3,2215.1,649.6,1683.6,1396.6,326.8,43.5,167.5
T204,168.5,4558.1,150.3,5400,407.9,503,2049.6,545.1,1745.5,1740,463.1,46.5,141.4
T205,140.1,4329.9,182.8,5790.2,566.5,591.2,2343.2,596.9,1696,1264.3,323.1,32.4,225.8
T304,147.6,4850.1,161.8,5166.6,491.3,591.5,1538.5,1069,1556.3,1685.1,1029.4,120.4,144
T305,93.6,3331.3,90.9,4884,402.4,322.3,941.3,515.2,923.1,1134.1,649.3,66.4,62.1
T306,149,5258.2,211.5,5239.6,530.4,544.1,1694.3,975.7,1434.1,1472.2,990.8,134.7,123
T307,104,2815.5,132.1,5056.9,508.2,376.5,1026.8,598.5,962.4,1019.8,664,83,44.5
T308,132,3156.3,90.8,5381.5,293.4,470.6,76.2,668.3,1144.4,1145.5,652.9,69.1,257.8
T309,147.6,4523.8,166.9,6266.5,431.1,598.1,1702.3,1052.7,1446.5,1250.4,763.8,80.1,275.6
T311,153.7,5375.4,202.4,6214.8,626.5,646.4,1637.7,1053.4,1574.2,1663.4,853.5,104.4,253.4
T312,120.6,3973,146.9,5502.8,527.1,579.5,1411.5,984.5,1278.8,1269.1,660.1,93.4,184.7
T400,157.5,4130.3,150.5,7287.7,641.2,768.7,2862.8,716.1,1917.4,1980.1,480.8,40.1,98.4
T401,120.2,3602.2,86.5,5479.8,280.1,644.6,3022,409,1573.2,1065.7,220.3,24.5,68.6
T402,164.9,4113.5,106,8000.3,442.7,740.8,3633.5,562.4,2083.3,1656.2,432,25.2,39.4
T404,191.2,4528.5,130.6,6560.2,333.8,655.3,2984.6,522.5,1968.2,1921.5,416.7,26.1,56.7
T405,204.9,4941.5,129.7,5632.2,344.1,503.2,2830.7,570.9,1853.5,1235.5,284.9,29.7,131.5
T406,140.3,4417.9,182.2,6750.7,663.6,587.5,2479.7,649,1680.5,1435.2,384.4,36.4,156.3
T407,170.5,3664.8,162.6,7232.6,693.6,651.1,1979.3,503.2,1446,1671.5,436.2,38.3,53.9
T408,149.6,3855.6,165,7566.9,827.7,496.7,2055.8,419.1,1448.5,1470.6,415.6,40.8,59
T500,128.6,4236.4,133,7623.3,503.4,664.4,1801.3,1085.3,1611,1907.5,1005.6,92.1,64.9
T501,111.7,3936.7,164.9,7464.3,685.5,484.3,1579.3,1142.2,1630.4,1519.8,773.7,111.5,207.5
T502,106.2,3465.5,98.7,6111.8,420.3,633.6,64,982.4,1244.7,1095.4,613,62.1,110.4
T503,115,3498.3,152.6,6074.4,641,505.4,1244.6,796.2,1173.2,1203.4,712.8,75.9,79.7
T504,159.2,4189.9,140.4,7290.1,705.4,742.1,1724.5,1083.6,1532,1668.3,855.3,93.9,81.4
T505,138.1,3658.3,142.8,6659,610.7,535.2,1187.2,754.8,1270,1429.4,817.3,95.9,152.9
T506,118.9,3612.3,141.5,5301.1,518.7,512.8,1277.5,787.5,1291,1330.3,825.2,91.1,34.3